Show,EpId,ClipId,Start,Stop,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech
HeStutters,0,0,31900320,31948320,True,Pamela Mertz,0.5658465623855591,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,0,1,31977120,32025120,True,Pamela Mertz,0.440298318862915,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,0,2,34809760,34857760,True,Pamela Mertz,0.5239596962928772,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,3,35200640,35248640,True,Pamela Mertz,0.3778924942016601,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,4,35721920,35769920,True,Pamela Mertz,0.5536426901817322,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,5,36435040,36483040,True,Pamela Mertz,0.5078305602073669,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,6,37251200,37299200,True,Pamela Mertz,0.587060809135437,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,7,37784640,37832640,True,Pamela Mertz,0.4836141169071197,,train,test,test,0,0,0,0,0,0,0,0,3,2,0,0
HeStutters,0,8,37963520,38011520,True,Pamela Mertz,0.2753463983535766,,train,test,test,0,0,0,0,0,0,0,0,3,2,0,0
HeStutters,0,9,41417440,41465440,True,Pamela Mertz,0.5054553151130676,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,10,41861760,41909760,True,Pamela Mertz,0.3163560628890991,,train,test,test,0,0,0,0,0,0,0,1,3,0,0,0
HeStutters,0,11,42928800,42976800,False,HeStutters_0_1,0.6412271857261658,train,test,train,dev,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,12,43139360,43187360,True,Pamela Mertz,0.420501559972763,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
