Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech
FluencyBank, 010, 0, 88960, 136960, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 1, 1271520, 1319520, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 2, 1813760, 1861760, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 3, 1842720, 1890720, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0
FluencyBank, 010, 4, 1893280, 1941280, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
FluencyBank, 010, 5, 1919520, 1967520, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 6, 1982720, 2030720, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 7, 2005600, 2053600, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0
FluencyBank, 010, 8, 2047520, 2095520, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 9, 2070400, 2118400, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 10, 2112480, 2160480, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 11, 2467360, 2515360, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 12, 2490720, 2538720, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0
FluencyBank, 010, 13, 2801440, 2849440, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 14, 2826880, 2874880, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 15, 2977440, 3025440, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 16, 3001120, 3049120, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 17, 3112320, 3160320, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 0
FluencyBank, 010, 18, 3139200, 3187200, 0, 0, 0, 0, 0, 0, 1, 2, 3, 0, 0, 0
FluencyBank, 010, 19, 133760, 181760, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 0
FluencyBank, 010, 20, 166720, 214720, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 21, 3192160, 3240160, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 22, 3218240, 3266240, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 23, 3441760, 3489760, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0
FluencyBank, 010, 24, 3467200, 3515200, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 25, 3524480, 3572480, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 26, 3548320, 3596320, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 27, 4081920, 4129920, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 28, 4104960, 4152960, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0
FluencyBank, 010, 29, 4174720, 4222720, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0
FluencyBank, 010, 30, 4200640, 4248640, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 31, 4258400, 4306400, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 32, 4285600, 4333600, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 33, 4455200, 4503200, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 34, 4480160, 4528160, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 35, 4624640, 4672640, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 36, 4647680, 4695680, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 37, 4706240, 4754240, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 38, 4761600, 4809600, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0
FluencyBank, 010, 39, 4806720, 4854720, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0
FluencyBank, 010, 40, 298720, 346720, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0
FluencyBank, 010, 41, 324480, 372480, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0
FluencyBank, 010, 42, 5355520, 5403520, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 43, 5381120, 5429120, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 44, 5399520, 5447520, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 45, 5485280, 5533280, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 46, 5509120, 5557120, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 47, 5601600, 5649600, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 48, 5625120, 5673120, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 49, 5997600, 6045600, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0
FluencyBank, 010, 50, 6021440, 6069440, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0
FluencyBank, 010, 51, 6246240, 6294240, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 52, 6296320, 6344320, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 53, 6399360, 6447360, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 54, 6435200, 6483200, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0
FluencyBank, 010, 55, 6480480, 6528480, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0
FluencyBank, 010, 56, 6536160, 6584160, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 57, 6565440, 6613440, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 58, 6614560, 6662560, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 59, 363520, 411520, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 60, 387040, 435040, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0
FluencyBank, 010, 61, 6648320, 6696320, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 62, 6831520, 6879520, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 63, 6858880, 6906880, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 64, 6933920, 6981920, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 65, 6993440, 7041440, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 66, 7017760, 7065760, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 67, 7055520, 7103520, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0
FluencyBank, 010, 68, 7250720, 7298720, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 69, 7274720, 7322720, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 70, 7367200, 7415200, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 71, 7394400, 7442400, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 72, 7507040, 7555040, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 0, 0
FluencyBank, 010, 73, 7530560, 7578560, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0
FluencyBank, 010, 74, 7576640, 7624640, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 75, 7599520, 7647520, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0
FluencyBank, 010, 76, 7843360, 7891360, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 77, 7867360, 7915360, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 78, 456320, 504320, 0, 0, 1, 0, 0, 0, 0, 3, 2, 0, 0, 0
FluencyBank, 010, 79, 483360, 531360, 0, 0, 0, 1, 0, 3, 0, 3, 0, 0, 0, 0
FluencyBank, 010, 80, 7942720, 7990720, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 81, 7972480, 8020480, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 82, 8044960, 8092960, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0
FluencyBank, 010, 83, 8083040, 8131040, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 84, 8117600, 8165600, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 85, 8266560, 8314560, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0
FluencyBank, 010, 86, 8293760, 8341760, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0
FluencyBank, 010, 87, 8342240, 8390240, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 88, 8420480, 8468480, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0
FluencyBank, 010, 89, 8443200, 8491200, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 90, 8472000, 8520000, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0
FluencyBank, 010, 91, 640960, 688960, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 92, 664640, 712640, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 93, 704640, 752640, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 010, 94, 728160, 776160, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 010, 95, 753600, 801600, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 96, 870880, 918880, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 010, 97, 893440, 941440, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0
FluencyBank, 010, 98, 1135520, 1183520, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0
FluencyBank, 010, 99, 1164160, 1212160, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 016, 0, 160, 48160, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 016, 1, 1025120, 1073120, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 016, 2, 1082560, 1130560, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0
FluencyBank, 016, 3, 1108640, 1156640, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 016, 4, 1372800, 1420800, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0
FluencyBank, 016, 5, 1401600, 1449600, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0
FluencyBank, 016, 6, 1475200, 1523200, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0
FluencyBank, 016, 7, 1510720, 1558720, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 016, 8, 1572160, 1620160, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0
FluencyBank, 016, 9, 1594880, 1642880, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0
FluencyBank, 016, 10, 1625760, 1673760, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 016, 11, 1746720, 1794720, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 016, 12, 1770880, 1818880, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0
FluencyBank, 016, 13, 1831680, 1879680, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
FluencyBank, 016, 14, 1861920, 1909920, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0
FluencyBank, 016, 15, 1944640, 1992640, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 016, 16, 1988000, 2036000, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 016, 17, 48640, 96640, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0
FluencyBank, 016, 18, 77120, 125120, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 016, 19, 2038400, 2086400, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 016, 20, 2099040, 2147040, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0
FluencyBank, 016, 21, 2121440, 2169440, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0
FluencyBank, 016, 22, 2167040, 2215040, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0
FluencyBank, 016, 23, 2197760, 2245760, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0
FluencyBank, 016, 24, 2333280, 2381280, 0, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0
FluencyBank, 016, 25, 2357440, 2405440, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0
FluencyBank, 016, 26, 2467520, 2515520, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0
FluencyBank, 016, 27, 2492800, 2540800, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0
FluencyBank, 016, 28, 2525280, 2573280, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0
FluencyBank, 016, 29, 2720000, 2768000, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0
FluencyBank, 016, 30, 2745280, 2793280, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0
FluencyBank, 016, 31, 2947680, 2995680, 0, 0, 0, 2, 0, 1, 0, 3, 0, 0, 0, 0
FluencyBank, 016, 32, 2974080, 3022080, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0
FluencyBank, 016, 33, 2997600, 3045600, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0
FluencyBank, 016, 34, 193600, 241600, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 016, 35, 218560, 266560, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0
FluencyBank, 016, 36, 3050240, 3098240, 0, 0, 0, 1, 0, 2, 0, 3, 0, 0, 0, 0
FluencyBank, 016, 37, 3148000, 3196000, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 016, 38, 3172480, 3220480, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
FluencyBank, 016, 39, 3276320, 3324320, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0
FluencyBank, 016, 40, 3319200, 3367200, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0
FluencyBank, 016, 41, 3347840, 3395840, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 016, 42, 3451680, 3499680, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 016, 43, 3480640, 3528640, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 016, 44, 3516960, 3564960, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0
FluencyBank, 016, 45, 3544640, 3592640, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 016, 46, 3767360, 3815360, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0
FluencyBank, 016, 47, 3797120, 3845120, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 0, 0
FluencyBank, 016, 48, 3822560, 3870560, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0
FluencyBank, 016, 49, 3865120, 3913120, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 016, 50, 3929920, 3977920, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 016, 51, 3956640, 4004640, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 016, 52, 238720, 286720, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0
FluencyBank, 016, 53, 3985920, 4033920, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0
FluencyBank, 016, 54, 4080480, 4128480, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0
FluencyBank, 016, 55, 4111680, 4159680, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0
FluencyBank, 016, 56, 4146880, 4194880, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0
FluencyBank, 016, 57, 4197920, 4245920, 0, 0, 1, 0, 0, 0, 0, 3, 2, 0, 0, 0
FluencyBank, 016, 58, 4241920, 4289920, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
FluencyBank, 016, 59, 4301760, 4349760, 0, 0, 2, 1, 0, 0, 0, 2, 1, 0, 0, 0
